TimeInSec,Flame_1_HeightInCM,Flame_2_HeightInCM
0,19.4660103141116,19.7716830754805
1,19.618846694796,19.7716830754805
2,19.618846694796,19.924519456165
3,19.4660103141116,19.4660103141116
4,53.7013595874355,56.6052508204407
5,52.3258321612752,76.4739803094233
6,39.6404125644632,39.6404125644632
7,42.0857946554149,40.5574308485701
8,44.3783403656821,40.4045944678856
9,42.8499765588373,42.2386310360994
10,40.863103609939,40.7102672292545
11,43.6141584622597,44.6840131270511
12,43.3084857008907,40.863103609939
13,44.5311767463666,41.3216127519925
14,44.98968588842,42.6971401781528
15,48.1992498827942,45.601031411158
16,42.0857946554149,43.6141584622597
17,44.5311767463666,45.1425222691045
18,45.1425222691045,44.0726676043131
19,42.8499765588373,43.6141584622597
20,41.474449132677,42.0857946554149
21,44.2255039849976,42.8499765588373
22,47.7407407407407,46.0595405532114
23,46.5180496952649,43.0028129395218
24,46.2123769338959,41.3216127519925
25,44.5311767463666,42.5443037974683
26,39.4875761837787,41.9329582747304
27,39.1819034224097,40.7102672292545
28,40.4045944678856,43.1556493202063
29,46.3652133145804,44.8368495077356
30,46.6708860759493,43.0028129395218
31,51.2559774964838,44.2255039849976
32,50.9503047351148,43.1556493202063
33,46.5180496952649,40.7102672292545
34,45.7538677918425,47.8935771214252
35,49.1162681669011,45.7538677918425
36,54.7712142522269,54.7712142522269
37,49.727613689639,45.295358649789
38,47.5879043600562,43.1556493202063
39,47.1293952180028,44.3783403656821
40,44.3783403656821,42.0857946554149
41,51.2559774964838,44.2255039849976
42,52.6315049226441,44.0726676043131
43,50.6446319737459,47.1293952180028
44,52.3258321612752,46.0595405532114
45,52.4786685419597,46.3652133145804
46,52.4786685419597,49.2691045475855
47,50.0332864510079,47.2822315986873
48,52.6315049226441,47.7407407407407
49,50.4917955930614,46.3652133145804
50,53.85419596812,54.0070323488045
51,54.4655414908579,54.4655414908579
52,51.1031411157993,48.5049226441631
53,54.159868729489,51.1031411157993
54,54.4655414908579,54.4655414908579
55,52.1729957805907,51.8673230192217
56,51.8673230192217,45.1425222691045
57,51.8673230192217,46.6708860759493
58,54.4655414908579,54.4655414908579
59,54.6183778715424,54.6183778715424
60,54.159868729489,50.9503047351148
61,51.1031411157993,49.42194092827
62,54.4655414908579,54.4655414908579
63,54.4655414908579,54.4655414908579
64,53.7013595874355,45.9067041725269
65,53.548523206751,49.2691045475855
66,54.4655414908579,54.4655414908579
67,53.0900140646976,46.9765588373183
68,54.6183778715424,54.6183778715424
69,54.6183778715424,54.6183778715424
70,54.4655414908579,54.4655414908579
71,54.6183778715424,54.6183778715424
72,54.7712142522269,54.7712142522269
73,54.4655414908579,54.4655414908579
74,54.6183778715424,54.6183778715424
75,54.159868729489,42.8499765588373
76,52.7843413033286,39.4875761837787
77,51.1031411157993,40.0989217065166
78,52.1729957805907,41.6272855133614
79,49.1162681669011,40.5574308485701
80,41.474449132677,39.6404125644632
81,44.2255039849976,40.5574308485701
82,44.0726676043131,40.7102672292545
83,43.1556493202063,39.0290670417252
84,40.5574308485701,39.1819034224097
85,39.4875761837787,38.4177215189873
86,39.0290670417252,37.6535396155649
87,36.5836849507735,36.2780121894046
88,37.1950304735115,38.2648851383028
89,36.736521331458,36.5836849507735
90,37.042194092827,37.1950304735115
91,35.9723394280356,35.6666666666666
92,36.4308485700891,34.7496483825597
93,36.1251758087201,36.1251758087201
94,36.5836849507735,36.5836849507735
95,36.8893577121425,37.1950304735115
96,36.8893577121425,37.042194092827
97,36.1251758087201,31.0815752461322
98,36.736521331458,34.9024847632442
99,37.3478668541959,39.0290670417252
100,35.6666666666666,33.2212845757149
101,36.4308485700891,30.7759024847632
102,35.9723394280356,30.1645569620253
103,36.4308485700891,31.2344116268167
104,36.2780121894046,30.9287388654477
105,35.8195030473511,35.8195030473511
106,35.6666666666666,29.7060478199718
107,34.7496483825597,29.7060478199718
108,33.5269573370839,29.7060478199718
109,35.8195030473511,30.9287388654477
110,35.0553211439287,29.2475386779184
111,33.2212845757149,29.2475386779184
112,33.3741209563994,28.6361931551805
113,33.8326300984529,28.9418659165494
114,34.4439756211908,30.3173933427098
115,31.8457571495546,29.2475386779184
116,33.0684481950304,29.5532114392874
117,32.1514299109236,28.789029535865
118,33.2212845757149,28.6361931551805
119,31.8457571495546,27.5663384903891
120,32.1514299109236,26.8021565869667
121,31.9985935302391,27.7191748710736
122,32.7627754336615,28.483356774496
123,30.9287388654477,28.3305203938115
124,30.3173933427098,27.1078293483357
125,31.0815752461322,27.7191748710736
126,31.5400843881856,26.8021565869667
127,30.1645569620253,26.3436474449132
128,31.3872480075011,26.9549929676512
129,29.8588842006563,27.4135021097046
130,31.5400843881856,28.3305203938115
131,29.8588842006563,27.7191748710736
132,31.8457571495546,26.4964838255977
133,30.7759024847632,28.0248476324425
134,32.1514299109236,30.0117205813408
135,31.9985935302391,27.2606657290201
136,30.4702297233943,27.5663384903891
137,30.3173933427098,28.3305203938115
138,30.7759024847632,28.483356774496
139,31.2344116268167,28.9418659165494
140,31.3872480075011,27.5663384903891
141,30.9287388654477,28.177684013127
142,30.1645569620253,29.4003750586029
143,31.5400843881856,29.7060478199718
144,30.9287388654477,27.7191748710736
145,32.1514299109236,31.3872480075011
146,32.304266291608,28.9418659165494
147,32.7627754336615,30.7759024847632
148,31.5400843881856,27.5663384903891
149,30.6230661040787,26.4964838255977
150,30.9287388654477,27.7191748710736
151,29.8588842006563,28.6361931551805
152,29.0947022972339,28.483356774496
153,30.6230661040787,27.4135021097046
154,31.5400843881856,30.4702297233943
155,30.7759024847632,29.4003750586029
156,31.3872480075011,28.0248476324425
157,31.0815752461322,30.6230661040787
158,29.7060478199718,27.8720112517581
159,31.2344116268167,27.5663384903891
160,30.4702297233943,27.4135021097046
161,29.5532114392874,27.2606657290201
162,29.8588842006563,29.2475386779184
163,29.7060478199718,28.9418659165494
164,29.7060478199718,27.2606657290201
165,30.6230661040787,27.7191748710736
166,29.2475386779184,28.483356774496
167,29.0947022972339,29.0947022972339
168,28.6361931551805,27.2606657290201
169,28.177684013127,27.8720112517581
170,26.9549929676512,27.2606657290201
171,27.2606657290201,26.6493202062822
172,26.6493202062822,27.2606657290201
173,26.1908110642288,26.1908110642288
174,26.9549929676512,27.1078293483357
175,27.2606657290201,26.8021565869667
176,27.1078293483357,27.2606657290201
177,25.8851383028598,26.4964838255977
178,26.3436474449132,26.9549929676512
179,27.8720112517581,27.2606657290201
180,25.8851383028598,27.5663384903891
181,26.8021565869667,27.2606657290201
182,26.4964838255977,27.5663384903891
183,24.2039381153305,26.4964838255977
184,27.4135021097046,26.9549929676512
185,25.4266291608064,25.4266291608064
186,25.5794655414908,25.5794655414908
187,24.8152836380684,24.8152836380684
188,26.9549929676512,26.9549929676512
189,26.8021565869667,26.8021565869667
190,26.0379746835443,26.0379746835443
191,27.2606657290201,27.2606657290201
192,26.1908110642288,26.1908110642288
193,25.8851383028598,25.8851383028598
194,26.1908110642288,26.1908110642288
195,26.6493202062822,26.3436474449132
196,25.2737927801219,25.2737927801219
197,25.2737927801219,25.2737927801219
198,25.2737927801219,25.2737927801219
199,24.8152836380684,24.8152836380684
200,25.1209563994374,25.1209563994374
201,24.356774496015,24.356774496015
202,24.8152836380684,24.8152836380684
203,25.1209563994374,25.1209563994374
204,24.5096108766995,24.5096108766995
205,25.2737927801219,25.2737927801219
206,24.8152836380684,24.8152836380684
207,25.4266291608064,25.4266291608064
208,25.1209563994374,25.1209563994374
209,25.4266291608064,25.4266291608064
210,25.1209563994374,25.1209563994374
211,24.6624472573839,24.6624472573839
212,24.9681200187529,24.9681200187529
213,25.1209563994374,25.1209563994374
214,24.051101734646,24.051101734646
215,24.8152836380684,24.8152836380684
216,25.2737927801219,25.2737927801219
217,24.5096108766995,24.5096108766995
218,24.6624472573839,24.6624472573839
219,24.8152836380684,24.8152836380684
220,24.9681200187529,24.9681200187529
221,24.8152836380684,24.8152836380684
222,24.6624472573839,24.6624472573839
223,24.6624472573839,24.6624472573839
224,24.8152836380684,24.8152836380684
225,24.6624472573839,24.6624472573839
226,24.9681200187529,24.9681200187529
227,24.9681200187529,24.9681200187529
228,24.8152836380684,24.8152836380684
229,25.2737927801219,25.2737927801219
230,24.8152836380684,24.8152836380684
231,24.6624472573839,24.6624472573839
232,24.9681200187529,24.9681200187529
233,25.2737927801219,25.2737927801219
234,24.6624472573839,24.6624472573839
235,24.6624472573839,24.6624472573839
236,24.356774496015,24.356774496015
237,24.9681200187529,24.9681200187529
238,24.8152836380684,24.8152836380684
239,25.1209563994374,25.1209563994374
240,25.1209563994374,25.1209563994374
241,25.1209563994374,25.1209563994374
242,25.1209563994374,25.1209563994374
243,25.1209563994374,25.1209563994374
244,24.6624472573839,24.6624472573839
245,25.1209563994374,25.1209563994374
246,24.8152836380684,24.8152836380684
247,24.9681200187529,24.9681200187529
248,25.5794655414908,25.5794655414908
249,25.7323019221753,25.7323019221753
250,25.5794655414908,25.5794655414908
251,25.8851383028598,25.8851383028598
252,25.1209563994374,25.1209563994374
253,25.4266291608064,25.4266291608064
254,25.2737927801219,25.2737927801219
255,25.4266291608064,25.4266291608064
256,25.4266291608064,25.4266291608064
257,25.4266291608064,25.4266291608064
258,25.2737927801219,25.2737927801219
259,24.9681200187529,24.9681200187529
260,25.1209563994374,25.1209563994374
261,25.1209563994374,25.1209563994374
262,24.6624472573839,24.6624472573839
263,24.8152836380684,24.8152836380684
264,24.8152836380684,24.8152836380684
265,NaN,NaN
266,24.6624472573839,24.6624472573839
267,24.9681200187529,24.9681200187529
268,24.8152836380684,24.8152836380684
269,24.6624472573839,24.6624472573839
270,24.9681200187529,24.9681200187529
271,NaN,NaN
272,NaN,NaN
273,24.9681200187529,24.9681200187529
274,NaN,NaN
275,NaN,NaN
276,24.6624472573839,24.6624472573839
277,NaN,NaN
278,NaN,NaN
